"","StromalScore","ImmuneScore","ESTIMATEScore","TumorPurity"
"ec302",1094.40783655633,1795.90260415266,2890.31044070898,0.515460605878324
"ec303",-102.664904270496,386.422518269079,283.757613998583,0.798113011732529
"ec305",466.56413640722,694.3056894884,1160.86982589562,0.714148492152508
"ec306",623.661693472573,231.664064706652,855.325758179225,0.744814783775405
"ec325",158.531578709455,486.402984981282,644.934563690737,0.765063679171839
"ec326",471.79423145585,1454.2884176,1926.08264905585,0.631186927688726
"ec330",764.412664486348,741.734558256414,1506.14722274276,0.677769035668203
"ec331",680.345123213926,772.003764241707,1452.34888745563,0.68355428659325
"ec308",591.281439141289,1054.7299605199,1646.01139966119,0.662531745985046
"ec309",1232.31547828129,1461.95221086509,2694.26768914639,0.539903013319469
"ec311",282.676345840176,334.04125800966,616.717603849836,0.767724319124984
"ec312",362.069030156171,762.938880558063,1125.00791071423,0.717823429178457
"ec315",-49.2993711944588,520.909713878636,471.610342684177,0.781197798415458
"ec316",704.689689475196,1091.95537979619,1796.64506927138,0.645809050043598
"ec317",1226.98365522662,1184.55371380324,2411.53736902986,0.574361063823689
"ec318",897.984949300355,917.80442135604,1815.78937065639,0.643660947590439
"ec319",449.067110643802,464.46944828924,913.536558933041,0.739086050396446
"ec321",1125.90523680487,639.599625438217,1765.50486224308,0.649292260991827
"ec322",889.031760623702,1060.29533828096,1949.32709890466,0.628536794510462
"ec324",94.3505880462782,443.046729290745,537.397317337023,0.775132908076411
"ec333",481.180931363234,516.653371327764,997.834302690997,0.73069446528068
"ec334",583.229864577611,594.165191035017,1177.39505561263,0.712448408325393
"ec337",463.745236742298,748.041181630504,1211.7864183728,0.708896862205918
"ec338",323.93009422413,557.082801039003,881.012895263133,0.742293499634293
"ec340",427.029021105324,891.95989845698,1318.9889195623,0.697710700930404
"ec341",275.187597673684,489.938852965484,765.126450639168,0.753584055391274
"ec342",838.970723960645,590.006458809259,1428.9771827699,0.686054322350198
"ec347",171.031488953962,336.266181315962,507.297670269924,0.77791679402137
"ec353",636.821088991303,773.245191942802,1410.06628093411,0.688071284194018
"ec355",946.009416356956,1026.96390563664,1972.9733219936,0.625833346635747
"ec361",1469.16904771445,1066.85677792408,2536.02582563853,0.559307310315023
"ec362",134.811435081118,61.9722694497591,196.783704530877,0.805739834156067
"ec365",1390.69824255788,1357.74473049029,2748.44297304817,0.533192342250046
"ec366",95.8447265877825,563.954592161064,659.799318748847,0.763656767038227
"ec367",882.265805041197,604.092527902112,1486.35833294331,0.679901984593828
"ec370",1089.23472846255,1001.56487245867,2090.79960092122,0.612250649931593
"ec371",1040.41051119703,705.926494818256,1746.33700601528,0.651429555045406
"ec373",533.403470450849,653.68839528367,1187.09186573452,0.711448866870544
