#SYMBOL	ENTREZID
GOLPH3L	55204
RORC	6097
ANGPT2	285
ASIC5	51802
RUNX2	860
TMEM100	55273
NREP	9315
MAGEA10	4109
TENM2	57451
E2F7	144455
MAD2L2	10459
ATP6V0D2	245972
KIAA0232	9778
ZBTB17	7709
SAP18	10284
TCF24	100129654
GSN	2934
MCM6	4175
LRP12	29967
TOPBP1	11073
KIF18A	81930
C16orf74	404550
TCF3	6929
CABYR	26256
FADD	8772
NBEAL2	23218
ROR1	4919
CGNL1	84952
SOST	50964
PGM5	5239
STMN1	3925
SCARA5	286133
SCP2	6342
SH3D19	152503
KLHL2	11275
TNFRSF18	8784
NEMP1	23306
NCCRP1	342897
MEIS1	4211
RAD51	5888
DRD4	1815
SFRP5	6425
RNASEH2A	10535
TMPRSS11B	132724
SNX10	29887
ATP1A2	477
TFAP2B	7021
YEATS2	55689
ESPL1	9700
KNL1	57082
CRTAC1	55118
TGFBR3	7049
HEBP2	23593
LAMP5	24141
MEX3A	92312
FHL1	2273
MASP2	10747
KIAA0930	23313
ST3GAL4	6484
CRYL1	51084
FANCA	2175
RUNX1	861
NOX4	50507
CILP2	148113
TMPRSS11E	28983
PLAC1	10761
SLC24A2	25769
ZWINT	11130
GRPEL2	134266
SLC4A4	8671
KCTD6	200845
USB1	79650
SPOCD1	90853
MLLT11	10962
DUOX1	53905
CHAF1A	10036
NUAK1	9891
SCN5A	6331
ZNF662	389114
SHMT1	6470
IFI6	2537
NUDT1	4521
RAB3B	5865
CEACAM1	634
FAT1	2195
CDK6	1021
HPCAL4	51440
PYCR2	29920
RAB11FIP1	80223
CYP27B1	1594
ABHD5	51099
OXSR1	9943
SLC37A1	54020
LEPR	3953
HSPH1	10808
ISG15	9636
TAF1A	9015
CLIC3	9022
SLC19A1	6573
BUB1	699
CYP26A1	1592
TXLNA	200081
RSPH3	83861
ZDHHC13	54503
ARPC1B	10095
MUCL1	118430
PER1	5187
OLR1	4973
SH3PXD2B	285590
CBS	875
SLURP1	57152
CCDC160	347475
CENPL	91687
PRNP	5621
COL7A1	1294
APLN	8862
HLTF	6596
USP54	159195
PLOD1	5351
TRAM2	9697
MAL	4118
MSN	4478
MAGEA4	4103
MATN3	4148
SPON2	10417
TMEM184B	25829
RSPO1	284654
RIF1	55183
RCN3	57333
FUT5	2527
CALM1	801
RNH1	6050
MOV10L1	54456
SPINK8	646424
PCNA	5111
FLVCR1	28982
CFAP46	54777
CASQ2	845
NDC80	10403
CRABP2	1382
SLC9A7	84679
HOXD10	3236
PGF	5228
RBP1	5947
CTNNBIP1	56998
ANKRD35	148741
COL8A1	1295
CKMT2	1160
PNPLA3	80339
COL12A1	1303
CPEB4	80315
RCN1	5954
KLHDC7B	113730
SMC2	10592
PER2	8864
HACD3	51495
RAB9B	51209
WDR26	80232
MGST2	4258
RNASE10	338879
MPP4	58538
BBIP1	92482
BBOX1	8424
LCN6	158062
KRTAP3-2	83897
TFF1	7031
CACNG4	27092
FHOD1	29109
RAI14	26064
ABHD14A	25864
ERN1	2081
AHNAK	79026
HOXB7	3217
ZIC2	7546
MKNK2	2872
ONECUT2	9480
CTAG2	30848
CXCL8	3576
HMMR	3161
WDR20	91833
BARX2	8538
DLX4	1748
AMOTL2	51421
TANC2	26115
DUSP1	1843
RGN	9104
IQGAP3	128239
ATP6V1D	51382
USP18	11274
ANKRD31	256006
MMD	23531
ERBB3	2065
LUM	4060
DBNL	28988
LGALS1	3956
C1QTNF7	114905
FCGR2A	2212
MCM8	84515
CXCL11	6373
KHDC1	80759
NR3C2	4306
LGALS3	3958
PTK6	5753
HTRA1	5654
PELI1	57162
RAET1E	135250
ITPR3	3710
SH2D2A	9047
FGFBP2	83888
IQCF1	132141
CT45A3	441519
ITM2A	9452
HOXC11	3227
ANGPTL1	9068
UCHL1	7345
GALNT9	50614
MLF1	4291
MUC1	4582
TOM1L2	146691
SOX11	6664
TTC9	23508
KLHDC8A	55220
VAX1	11023
MAGI3	260425
RBM47	54502
FNBP1	23048
MAGEA11	4110
NLRX1	79671
TREH	11181
ECE2	9718
CLCN2	1181
PLOD2	5352
GALNT18	374378
CADM2	253559
PRR5L	79899
CYP2E1	1571
DDIAS	220042
ERCC6L	54821
MCEE	84693
GLI1	2735
MYO5A	4644
SLC26A6	65010
POU6F2	11281
FBXO5	26271
NUP155	9631
PRH2	5555
NPAS2	4862
ASXL1	171023
MAD2L1	4085
NECAB2	54550
PPAT	5471
GNA12	2768
FGF14	2259
CDX1	1044
ACOX2	8309
FCHO2	115548
VASN	114990
LGR5	8549
NAT14	57106
VPS37B	79720
MAGEA2	4101
TNFAIP6	7130
CDS1	1040
WWC1	23286
BCL2L15	440603
TSPO2	222642
TYMS	7298
BEND6	221336
PPEF1	5475
SLC25A23	79085
ASF1B	55723
BCOR	54880
PIK3C2B	5287
PCDH1	5097
TDO2	6999
SLCO1A2	6579
DMRT2	10655
NXPE2	120406
RFC5	5985
PYGM	5837
ITGB4	3691
EIF4E3	317649
OTOA	146183
MYO1B	4430
SH2D5	400745
TECPR1	25851
WNK4	65266
SOCS1	8651
PSMD2	5708
POP1	10940
RIPK4	54101
TYRO3	7301
ITIH5	80760
SYT15	83849
HSPB6	126393
CNIH3	149111
ELOVL6	79071
FAM13C	220965
STRIP2	57464
CHAF1B	8208
ALS2CL	259173
CIPC	85457
KIF1C	10749
C9orf152	401546
ITGAV	3685
SAPCD2	89958
ANKRD24	170961
RSAD2	91543
XPO5	57510
PDE6A	5145
SLC44A3	126969
BRIP1	83990
CNGA1	1259
RND3	390
HES5	388585
RBPMS	11030
LTA4H	4048
KLK13	26085
ADCYAP1R1	117
CHEK2	11200
DHCR7	1717
GAB2	9846
SORCS1	114815
VOPP1	81552
PLAC9	219348
SNRK	54861
ITPKC	80271
MMRN1	22915
PRICKLE4	29964
CEP72	55722
TEC	7006
TEC	100124696
SLC1A4	6509
MKI67	4288
RORA	6095
FBN2	2201
HS3ST1	9957
AJAP1	55966
THBS2	7058
MACROD2	140733
ACVR1C	130399
TJP2	9414
RASSF3	283349
TNFRSF12A	51330
TIAM1	7074
PFDN2	5202
ETV4	2118
BLVRB	645
BAMBI	25805
RTN4R	65078
TMEM44	93109
CIDEA	1149
KIF11	3832
NLN	57486
EIF2AK2	5610
ITGA11	22801
SNX24	28966
XKR4	114786
FCGR3A	2214
GKN2	200504
GPX6	257202
LRP10	26020
CFHR4	10877
FGF10	2255
GANC	2595
SDS	10993
PCSK2	5126
TUSC3	7991
PALMD	54873
LIPH	200879
MAMDC2	256691
TMPRSS2	7113
NETO2	81831
CNN3	1266
MEX3B	84206
POLE2	5427
IKZF2	22807
AP3M2	10947
NEGR1	257194
MYO10	4651
FOXO4	4303
SYNDIG1	79953
PRRX2	51450
LRFN1	57622
HLF	3131
ZFP36	7538
TGM1	7051
CDC7	8317
PYGO2	90780
SFRP4	6424
CUL3	8452
DUSP2	1844
OR10G8	219869
PLAG1	5324
TMEM154	201799
PRSS3	5646
FAM133A	286499
PBK	55872
C18orf54	162681
MRPL47	57129
RAB5A	5868
FGF19	9965
PARP14	54625
NT5C2	22978
LHX2	9355
CENPQ	55166
CNFN	84518
SLC24A3	57419
AR	367
XRCC3	7517
NETO1	81832
PRSS1	5644
PPP4R4	57718
CDCA7L	55536
CYP2C8	1558
MIEF2	125170
ALDH3A2	224
PLEKHA7	144100
ORC1	4998
MS4A8	83661
RGS5	8490
MSX2	4488
MSANTD3	91283
KRT32	3882
THOC6	79228
ABR	29
DPT	1805
PLAUR	5329
PRIM1	5557
HPSE2	60495
TMIE	259236
CPNE8	144402
CNTNAP2	26047
TTC22	55001
DAAM2	23500
OSBPL10	114884
CLIP1	6249
GALE	2582
SESN2	83667
KREMEN2	79412
SECISBP2L	9728
PLXNA2	5362
COBL	23242
ITGA7	3679
PDXP	57026
LRRC31	79782
OCLN	100506658
LIN9	286826
CDT1	81620
GKN1	56287
P4HA2	8974
EPHA1	2041
ERVMER34-1	100288413
SLC39A6	25800
CCNE2	9134
CDSN	1041
MUC15	143662
SELENBP1	8991
RNASE4	6038
CTSK	1513
SPINT1	6692
FOXL1	2300
CELSR3	1951
SERPINB2	5055
ACVR1	90
ALAD	210
MINPP1	9562
TICRR	90381
MYL5	4636
FOXL2	668
ZG16B	124220
EPOP	100170841
MBD2	8932
ARHGEF39	84904
BEX4	56271
MFHAS1	9258
RFC3	5983
RPL39L	116832
TST	7263
SLC2A1	6513
DAPP1	27071
CSRP1	1465
NRSN2	80023
FGF5	2250
UAP1L1	91373
GREM2	64388
EHF	26298
PRSS21	10942
GNAO1	2775
SSC4D	136853
NMB	4828
DDAH1	23576
PDZRN4	29951
PGBD5	79605
CYP2C18	1562
APOLD1	81575
FBXL16	146330
ESAM	90952
MYOZ1	58529
ZPLD1	131368
LAGE3	8270
SAC3D1	29901
L3HYPDH	112849
SCN8A	6334
PLLP	51090
NCAPD2	9918
CRISP2	7180
CNTN5	53942
ZNF367	195828
SCARB1	949
MPPED1	758
KCNS3	3790
RGS14	10636
CXCL10	3627
C3orf20	84077
IKBIP	121457
CHST7	56548
PRR9	574414
KIF15	56992
COBLL1	22837
KRT4	3851
PSRC1	84722
TMEM185B	79134
GCHFR	2644
COA6	388753
ZNF280C	55609
RSPO2	340419
CYP4B1	1580
DNASE1L3	1776
NFE2L3	9603
NEBL	10529
HMGCS2	3158
TGIF2	60436
TMEM38B	55151
SLCO2A1	6578
FADS3	3995
SPRY4	81848
HAUS8	93323
CPPED1	55313
CHAD	1101
RNF213	57674
LAMB1	3912
STXBP5	134957
RPL3L	6123
NPBWR1	2831
HLA-C	3107
C6orf58	352999
CLN8	2055
CHST11	50515
PCP4	5121
AIM2	9447
FBXO43	286151
MFSD2B	388931
GPX7	2882
CCDC69	26112
SCGB2A2	4250
TCF21	6943
ANO10	55129
NAAA	27163
MAGEA1	4100
KCNMB3	27094
ZNF449	203523
PIM1	5292
EVPLL	645027
EXOSC4	54512
SYNM	23336
HTR1E	3354
ZNF750	79755
COCH	1690
LMOD1	25802
MFSD5	84975
TSPAN6	7105
MYOC	4653
PANX1	24145
FAM25A	643161
RALGPS2	55103
SLC10A5	347051
PAX9	5083
CITED2	10370
CRCT1	54544
TMSB15A	11013
ESCO2	157570
IL31RA	133396
PDE8B	8622
CBX7	23492
PHYHIPL	84457
NID2	22795
NRCAM	4897
PIGN	23556
IGF2BP3	10643
LMO2	4005
IRS1	3667
SPRR3	6707
SPOCK1	6695
SH3BGR	6450
BASP1	10409
TMEM177	80775
TYMP	1890
AQP3	360
IFITM1	8519
ASPN	54829
PNPLA1	285848
HOXD8	3234
BRCA2	675
PTCHD1	139411
CHP2	63928
SDK1	221935
PACSIN1	29993
SCIN	85477
CA9	768
MAGEC1	9947
TPRG1	285386
IFI35	3430
CSRNP1	64651
CLDN17	26285
AMIGO2	347902
FAM135A	57579
SERPINB13	5275
UNC13B	10497
ATAD2	29028
CENPH	64946
DLX5	1749
TF	7018
SLC6A2	6530
MUC7	4589
MRPL21	219927
CFP	5199
KLHDC8B	200942
SLC7A11	23657
SHCBP1	79801
TACSTD2	4070
SLC9A9	285195
KDELR3	11015
HOXB13	10481
WFDC1	58189
LDLRAD2	401944
LRRC46	90506
NKX2-1	7080
CLDN7	1366
NLRP7	199713
MAST4	375449
MYO5B	4645
GPR50	9248
CCDC71L	168455
B3GNT6	192134
RCOR2	283248
ETV5	2119
SLC12A8	84561
C7orf57	136288
MAB21L3	126868
DDHD1	80821
CCDC178	374864
FOXC1	2296
GRHL1	29841
EPCAM	4072
GLTP	51228
CDH8	1006
GC	2638
RASAL1	8437
OTX1	5013
TMEM200A	114801
SPRY1	10252
SLC22A4	6583
GBP1	2633
MTMR10	54893
BDH2	56898
RAB27B	5874
PKHD1L1	93035
KRTAP4-1	85285
LAMP3	27074
RUNDC3B	154661
GATM	2628
F2RL2	2151
VSIG10	54621
GPR84	53831
SLC16A1	6566
KCND2	3751
CASP14	23581
CLDN20	49861
MECOM	2122
DCLK1	9201
TCHHL1	126637
GABRR1	2569
VAT1	10493
SIX2	10736
DYNLT3	6990
NXPE4	54827
KLK12	43849
RGS7BP	401190
PCOLCE	5118
DIAPH3	81624
ANKS1B	56899
CAPZB	832
ANKRD22	118932
MYOM1	8736
DSPP	1834
QSOX1	5768
MUC5B	727897
NUSAP1	51203
PHACTR4	65979
DENND2D	79961
CH25H	9023
MAGEA3	4102
MAGEB2	4113
PPFIBP2	8495
TP63	8626
GPNMB	10457
SLC2A6	11182
RUSC2	9853
MPC1	51660
C6	729
CAV2	858
SPATA17	128153
SKA3	221150
CASK	8573
RNFT2	84900
MED30	90390
ACKR1	2532
ARHGAP40	343578
KCNMB1	3779
PDE7A	5150
GAS7	8522
MTURN	222166
GSC	145258
PROCR	10544
C6orf15	29113
KCNMB2	10242
IFIT1	3434
ANO5	203859
GLA	2717
HERC5	51191
GIPC1	10755
P2RX3	5024
ACACB	32
LHFPL2	10184
PDZD2	23037
FAM163B	642968
BOLL	66037
MARVELD3	91862
CGN	57530
TAP1	6890
BHLHE40	8553
PLEKHN1	84069
PI16	221476
GAB1	2549
KBTBD3	143879
CYP2C9	1559
PPT1	5538
ASPRV1	151516
WNT11	7481
CFTR	1080
SOX17	64321
CTSZ	1522
CD1C	911
BRS3	680
BPIFB6	128859
FUT3	2525
TESMIN	9633
SLC6A4	6532
PLK4	10733
RABGGTA	5875
SLC11A1	6556
C14orf180	400258
SPHKAP	80309
VEPH1	79674
SLC43A2	124935
MME	4311
INPP1	3628
PLOD3	8985
ATP4B	496
GAREM2	150946
CACNB2	783
SMTN	6525
NTRK3	4916
MXRA5	25878
ELF3	1999
SLC7A4	6545
NPEPPS	9520
TOM1	10043
IL32	9235
CNKSR3	154043
TFF2	7032
NEB	4703
RBP7	116362
HIGD1A	25994
PKD2L1	9033
KLK11	11012
PRTFDC1	56952
NRG1	3084
SMKR1	100287482
LRRC26	389816
ABLIM2	84448
ENO2	2026
MYOCD	93649
NDST1	3340
ELL2	22936
YIPF7	285525
XPNPEP2	7512
NAV1	89796
PTH2R	5746
TRPM2	7226
SYTL1	84958
ABCA6	23460
PYCR1	5831
SRL	6345
S100A9	6280
CHRDL1	91851
OASL	8638
KLK14	43847
TIMP1	7076
TRPV3	162514
LCE2A	353139
CTSG	1511
GNE	10020
MYH11	4629
CFL2	1073
ANK2	287
MXRA8	54587
DDX60	55601
MUSK	4593
ACKR3	57007
HENMT1	113802
SPARC	6678
TET2	54790
GRIA3	2892
LYVE1	10894
HRC	3270
PIGR	5284
ALCAM	214
ZNF540	163255
SPRR2D	6703
UCP3	7352
LAYN	143903
MAP3K20	51776
COL9A2	1298
ANGEL1	23357
FBXO41	150726
AZIN2	113451
NOCT	25819
ANTXR1	84168
ANGPTL5	253935
NOS2	4843
PGC	5225
ATP10B	23120
CAPN8	388743
OR7E24	26648
IDO1	3620
TMPRSS11A	339967
FBLIM1	54751
ITLN1	55600
SPRR2A	6700
DTX2	113878
RFLNB	359845
CDC25A	993
RASAL2	9462
SYT12	91683
SMTNL2	342527
FOS	2353
PROC	5624
UBE2L6	9246
NEXN	91624
ATP1B1	481
C12orf75	387882
FOXE1	2304
ZGRF1	55345
SH2D4A	63898
EFNB1	1947
RUNDC3A	10900
SLC2A4	6517
CHIA	27159
KCNQ4	9132
FRMD4B	23150
STX19	415117
EFNA1	1942
COL5A3	50509
LMNB1	4001
LYPD3	27076
SLC39A10	57181
SULT2A1	6822
C1QTNF2	114898
CADM3	57863
CCR8	1237
PLCD4	84812
MADCAM1	8174
SLC6A15	55117
ANGPTL7	10218
RTP4	64108
CNGA3	1261
TXNRD1	7296
COL6A1	1291
ARHGEF9	23229
PCDHGC5	56097
EPGN	255324
C10orf55	414236
TRIM59	286827
DMGDH	29958
TRIM29	23650
HTR4	3360
CAPS2	84698
CDH17	1015
CCL19	6363
CDH15	1013
ABCA4	24
CHSY3	337876
ARHGAP20	57569
MACC1	346389
IFIT2	3433
PLD1	5337
LGALS4	3960
PLXNC1	10154
KPRP	448834
TTR	7276
GRIA2	2891
GPR157	80045
B3GNT9	84752
CENPK	64105
SLC26A2	1836
CCL7	6354
MYL9	10398
CCNG2	901
NASP	4678
PRB1	5542
MYLK	4638
ADGRB3	577
MYO6	4646
XKR9	389668
ATP6V0A4	50617
CD1E	913
SLC39A4	55630
PLEKHA6	22874
PLEKHA5	54477
CHRM1	1128
RRAD	6236
SLC13A5	284111
NPC1L1	29881
ZP3	7784
TNFRSF4	7293
CCNB1	891
NCF2	4688
AKAP12	9590
MAGI1	9223
DYNC1I1	1780
MT1A	4489
SLIT3	6586
ECHDC3	79746
NKD2	85409
PHACTR2	9749
PTTG1	9232
DMP1	1758
ABI3BP	25890
CWH43	80157
ADGRG6	57211
PPP1R14C	81706
SLAMF8	56833
PPP1R14A	94274
IL6ST	3572
ITPR1	3708
GALNT16	57452
CHST2	9435
PHYHD1	254295
TCHH	7062
ST8SIA2	8128
DVL3	1857
CLDN4	1364
MYO7A	4647
PTPRZ1	5803
TCN1	6947
EGR1	1958
KIAA1549L	25758
GCNT3	9245
CD1A	909
RECQL4	9401
OGDHL	55753
B3GNT8	374907
RNF208	727800
DDN	23109
MMP8	4317
CHRNA6	8973
RNASE7	84659
NCBP2	22916
TNS2	23371
SERPINB3	6317
BHMT2	23743
ACADSB	36
KANK4	163782
APOD	347
SOHLH1	402381
KLF9	687
AOX1	316
SPACA4	171169
CRNN	49860
SESTD1	91404
RECK	8434
KIF24	347240
MRPS17	51373
PKIB	5570
ACSM3	6296
EIF5A2	56648
ANO4	121601
GPR12	2835
STRA8	346673
SEC61G	23480
TMEM201	199953
IL2RA	3559
OR5AS1	219447
TMEM97	27346
KIAA0319	9856
EPSTI1	94240
GLI2	2736
PAX1	5075
KRT15	3866
TACR1	6869
CDH13	1012
NRIP3	56675
PDGFRB	5159
FLNC	2318
TNFSF10	8743
NTRK2	4915
MAL2	114569
IGFL1	374918
PSPH	5723
RGS16	6004
SLC16A10	117247
RAB31	11031
B3GNT3	10331
SLC6A8	6535
COL6A3	1293
PRDM16	63976
KCNG3	170850
MCM10	55388
MYO5C	55930
GADD45B	4616
RNF175	285533
ALDH2	217
SCGB3A1	92304
SAMD15	161394
ZKSCAN3	80317
P2RY6	5031
PLA2G2A	5320
C7	730
IL33	90865
NKX6-1	4825
CLDN5	7122
RRM2	6241
MPZL2	10205
GPR45	11250
PRUNE2	158471
OXT	5020
NCAM1	4684
CTRB2	440387
ITSN2	50618
LDHD	197257
NUDT12	83594
SYNGR1	9145
SBSN	374897
SYNPO2	171024
DBF4	10926
ICA1	3382
ADAMTS2	9509
CD80	941
EMX1	2016
SCN2B	6327
ADORA2B	136
KIF3C	3797
TXK	7294
GJC1	10052
NCOA1	8648
PLEKHG4	25894
EBLN1	340900
ACTG2	72
AKR1C1	1645
SLC10A4	201780
ZBTB7C	201501
OR8J3	81168
LIMS2	55679
BTG2	7832
PHLDB2	90102
ARHGAP32	9743
CCDC3	83643
PTH1R	5745
CARNS1	57571
EPHX3	79852
DSC1	1823
EPN3	55040
OR2Z1	284383
CD14	929
ADCY5	111
GCSAML	148823
CLDN16	10686
PLS1	5357
PLPP2	8612
FAM234B	57613
CT83	203413
CELA3A	10136
SCGB1D2	10647
FOLR1	2348
FOSB	2354
SLC44A5	204962
EMILIN2	84034
STARD9	57519
TDRD5	163589
RAB42	115273
BCL2A1	597
ACOXL	55289
SLC6A16	28968
CPT1C	126129
DSG3	1830
HMGN5	79366
COL9A3	1299
VGF	7425
DMRT1	1761
JCHAIN	3512
XCL1	6375
TBX1	6899
HOXA4	3201
KCNA7	3743
OR6C76	390326
ABAT	18
FAM174B	400451
FAM162B	221303
KBTBD12	166348
PHLDA1	22822
C12orf60	144608
C1orf226	400793
GABBR2	9568
HRCT1	646962
TACR2	6865
PID1	55022
BAALC	79870
COX7B2	170712
GUCY1A2	2977
PRELP	5549
GNG7	2788
RTTN	25914
IGSF9	57549
MS4A2	2206
RDH12	145226
DIXDC1	85458
TPM2	7169
LIFR	3977
FN1	2335
MAP3K9	4293
SEMA3C	10512
TLX2	3196
TMEM253	643382
ZEB2	9839
JADE2	23338
SIGLEC12	89858
ECE1	1889
NTN1	9423
PON3	5446
FRMD3	257019
TAGLN	6876
ROS1	6098
SH3BP4	23677
ANKRD18B	441459
COL16A1	1307
PPP1R3B	79660
PRDM1	639
ASB5	140458
SLC35G2	80723
BSPRY	54836
ELAVL2	1993
ZNF618	114991
PNLDC1	154197
SLC44A4	80736
SLITRK5	26050
B4GALNT4	338707
DRD1	1812
KLHL41	10324
EPHB1	2047
TNFAIP3	7128
FLYWCH1	84256
GPRASP1	9737
IL20	50604
ARHGEF38	54848
SLC16A9	220963
ATP8A1	10396
ADAMTSL1	92949
LRTOMT	220074
SMPD3	55512
COX6B2	125965
KRTAP20-1	337975
ADAMDEC1	27299
CCL26	10344
BMX	660
ADGRE2	30817
S100A8	6279
ADIRF	10974
SCN2A	6326
MROH6	642475
KCNMA1	3778
PROS1	5627
DPYSL4	10570
HDC	3067
MISP3	113230
DGKB	1607
LDLRAD1	388633
MSI1	4440
STK31	56164
GAD1	2571
JPH2	57158
IGSF10	285313
MTUS2	23281
HAS3	3038
IGHMBP2	3508
LCN10	414332
PDGFRL	5157
CCDC110	256309
GXYLT2	727936
EGFL6	25975
PYM1	84305
PLBD1	79887
BST2	684
CDHR5	53841
SIGLEC15	284266
NLGN3	54413
